apparatusId;apparatusVersion;apparatusSensorType;apparatusTubeType;temperature;value;hitsNumber;calibrationFunction;startTime;endTime;latitude;longitude;accuracy;altitude;altitudeAccuracy;endLatitude;endLongitude;endAccuracy;endAltitude;endAltitudeAccuracy;deviceUuid;devicePlatform;deviceVersion;deviceModel;reportUuid;manualReporting;organisationReporting;description;measurementHeight;userId;measurementEnvironment;rain;flightNumber;seatNumber;windowSeat;storm;flightId;refinedLatitude;refinedLongitude;refinedAltitude;refinedEndLatitude;refinedEndLongitude;refinedEndAltitude;departureTime;arrivalTime;airportOrigin;airportDestination;aircraftType;firstLatitude;firstLongitude;midLatitude;midLongitude;lastLatitude;lastLongitude;dateAndTimeOfCreation;qualification;qualificationVotesNumber;reliability;atypical
9d10a4aa;RiumGM BLE -b;geiger;J305γβ;29;0.109946379003878;50;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-15T08:13:21.197Z;2023-06-15T08:16:13.578Z;41.1186762946109;1.25770088285325;5.47176;89;;41.1186762946109;1.25770088285325;5.47176;89;;5CCFF600-3C6A-4574-8557-BB8994C24047;iOS;16.5;iPhone13,4;a0cf6e4f-c60a-4f4e-842c-2006aac58f1d;0;OpenRadiation app 2.3.4;;1;;city;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-15T08:16:21.775Z;groundlevel;0;93;0
9d10a4aa;RiumGM BLE -b;geiger;J305γβ;29;0.149052635818736;50;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-15T08:09:47.697Z;2023-06-15T08:12:03.013Z;41.118470529239;1.25757932425971;195.113;69;;41.1184343928856;1.25742587261019;4.24023;106;;5CCFF600-3C6A-4574-8557-BB8994C24047;iOS;16.5;iPhone13,4;fe28eae7-4a56-49eb-ae26-403cb9c6b3de;0;OpenRadiation app 2.3.4;;1;;city;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-15T08:12:12.678Z;groundlevel;0;93;0
9d10a4aa;RiumGM BLE -b;geiger;J305γβ;28;0.106687366465721;50;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-15T08:03:01.767Z;2023-06-15T08:05:58.175Z;41.1186285177629;1.2559385038924;4.18734;81;;41.1186285177629;1.2559385038924;4.18734;81;;5CCFF600-3C6A-4574-8557-BB8994C24047;iOS;16.5;iPhone13,4;079daa26-8077-47f9-b273-498598b04438;0;OpenRadiation app 2.3.4;;1;;city;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-15T08:12:12.027Z;groundlevel;0;93;0
9d10a4aa;RiumGM BLE -b;geiger;J305γβ;28;0.0863749214422758;50;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-15T07:56:29.871Z;2023-06-15T07:59:56.342Z;41.1186154000844;1.25511640682933;9.93827;58;;41.1186154000844;1.25511640682933;9.93827;58;;5CCFF600-3C6A-4574-8557-BB8994C24047;iOS;16.5;iPhone13,4;d7b8d15d-1c12-45ac-86be-b62cd838b4d6;0;OpenRadiation app 2.3.4;;1;;city;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-15T08:00:05.250Z;groundlevel;0;93;0
9d10a4aa;RiumGM BLE -b;geiger;J305γβ;28;0.108633342630754;53;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-15T07:50:11.027Z;2023-06-15T07:53:15.447Z;41.1202368792529;1.25560440123198;4.08084;61;;41.1202368792529;1.25560440123198;4.08084;61;;5CCFF600-3C6A-4574-8557-BB8994C24047;iOS;16.5;iPhone13,4;0d8ca353-0a01-4349-9db2-611829481c5a;0;OpenRadiation app 2.3.4;;1;;city;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-15T07:53:25.802Z;groundlevel;0;93;0
9d10a4aa;RiumGM BLE -b;geiger;J305γβ;28;0.138858210650703;50;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-15T07:42:06.552Z;2023-06-15T07:44:29.903Z;41.1178208375733;1.25338965095696;8.25004;95;;41.1177536147098;1.25326082110522;3.53553;71;;5CCFF600-3C6A-4574-8557-BB8994C24047;iOS;16.5;iPhone13,4;57a97590-53c7-484e-8a40-6a915292ea86;0;OpenRadiation app 2.3.4;;1;;city;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-15T07:44:41.473Z;groundlevel;0;93;0
9d10a4aa;RiumGM BLE -b;geiger;J305γβ;27;0.121617355482028;50;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-15T07:36:09.205Z;2023-06-15T07:38:48.559Z;41.1176506011198;1.25127154402551;16.5102;45;;41.1176506011198;1.25127154402551;16.5102;45;;5CCFF600-3C6A-4574-8557-BB8994C24047;iOS;16.5;iPhone13,4;b5589213-f559-4846-acbe-29bb065e90df;0;OpenRadiation app 2.3.4;;1;;city;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-15T07:38:59.721Z;groundlevel;0;93;0
751f70e7;RiumGM BLE -b;geiger;J305γβ;29;0.120032113152365;75;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-14T18:16:14.799Z;2023-06-14T18:20:16.309Z;47.2672651168797;4.98450692755634;89.7819;277;;47.2672651168797;4.98450692755634;89.7819;277;;37C525FD-5749-4F9D-AC22-87318DD67A00;iOS;16.3.1;iPhone12,1;1a904c97-0663-439e-8d24-f7fc1be38a53;0;OpenRadiation app 2.3.4;;1;domlo;countryside;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-14T18:21:34.179Z;groundlevel;0;116;0
3E6A9F28-C07C-EDAE-D67B-F40EA4D87DA8;AtomTag v.1.0.3;geiger;SBM-20;16;0.14780057057465;123;max((cps * 0.128 * 3600 - 40) / 1000, 0);2023-06-14T17:58:04.144Z;2023-06-14T18:03:05.945Z;41.154242497053;-8.61129857048423;41;111;;41.1538897505246;-8.61116190293472;38;111;;CB9BC8B8-9D97-4642-87C3-A83B97791E5E;iOS;15.7.6;iPhone9,3;308f3a24-fbc6-4a6e-8027-ad3b435bc31e;0;OpenRadiation app 2.3.4;;1;IC85;inside;;;;;;;;;;;;;;;;;;;;;;;;2023-06-14T18:04:21.292Z;groundlevel;0;96;0
751f70e7;RiumGM BLE -b;geiger;J305γβ;23;0.0674180102026024;210;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-14T15:23:11.938Z;2023-06-14T15:40:23.124Z;47.3323507504821;5.05160367640946;3000;245;;47.3323364257812;5.05162048339844;3000;245;;37C525FD-5749-4F9D-AC22-87318DD67A00;iOS;16.3.1;iPhone12,1;145c412e-6f71-4ff0-b667-72c17fc7e799;0;OpenRadiation app 2.3.4;;1;domlo;inside;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-14T15:40:42.960Z;groundlevel;0;95;0
9d10a4aa;RiumGM BLE -b;geiger;J305γβ;29;0.0758154454049087;50;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-14T09:39:58.254Z;2023-06-14T09:43:44.795Z;41.1204553293617;1.23740350779549;4.60423;14;;41.1207495583604;1.23820457607623;3.83564;11;;5CCFF600-3C6A-4574-8557-BB8994C24047;iOS;16.5;iPhone13,4;02f6c752-d9b6-45f9-ad34-f3507d72a847;0;OpenRadiation app 2.3.4;;1;;city;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-14T09:43:55.339Z;groundlevel;0;93;0
9d10a4aa;RiumGM BLE -b;geiger;J305γβ;29;0.103598783983349;50;(0.00000003751 * (cps * 60 - 4) ^ 2 + 0.00965 * (cps * 60 - 4)) * 0.85;2023-06-14T09:35:13.583Z;2023-06-14T09:38:13.985Z;41.1201812234159;1.23770015314337;3.53553;19;;41.1201598495628;1.23732372187193;3.53553;15;;5CCFF600-3C6A-4574-8557-BB8994C24047;iOS;16.5;iPhone13,4;8468ed4a-f0f4-4e31-aa11-cac3070d3d0a;0;OpenRadiation app 2.3.4;;1;;city;0;;;;;;;;;;;;;;;;;;;;;;;2023-06-14T09:38:26.546Z;groundlevel;0;93;0
